,Datetime,Text,shutonu
0,2016-08-24 01:37:58+00:00,Check out Unilever Fair &amp; and Lovely Advanced Multivitamin Fairness Cream 25g #Unilever https://t.co/6TPNitlrGs via @eBay,neutral
1,2021-04-18 03:48:54+00:00,"@SatuRuna If you continue through OP's thread, it's specifically in reference to removing anti-trans ideology from feminism, which I definitely agree with.",neutral
2,2020-09-27 02:16:46+00:00,Never forget this: kneeling was the peaceful protest. You told them to stand up and they did! #BLM @WhiteHouse @NFL https://t.co/R6aY60RSUm,positive
3,2021-05-17 21:43:37+00:00,"Israel-Gaza conflict rages on despite U.S., regional diplomacy https://t.co/ZicoxSlXyE",neutral
4,2021-03-16 03:23:47+00:00,@Smolbee4 @TheHellCurve @ResplendentElk @TheLaurenChen I get pussy? Not a mysogynist? Not a cringe red pill guy?,offensive
5,2021-05-15 12:58:04+00:00,@Aabhas24 @IDF @Israel Abhas ji. Israel is clearly the aggressor here. How different is the situation of Palestinians different from kashmiri pandits? Both of them being ethnically cleansed from their homeland where they've lived for 100s of years.,attacking
7,2021-05-16 23:51:35+00:00,"NEW 🚨 India announces support to Palestinian cause and commitment to a two-state solution at the UN security council meeting on Israel-Palestine conflict 

#IndiaStandWithIsrael #IsraelUnderFire #IndiaWithIsrael #SecurityCouncil https://t.co/M5HwlgHCPU",positive
9,2021-05-15 01:40:42+00:00,@SanaSaeed It might be just time to make Gazi strip part of Israel.,neutral
10,2021-05-03 04:06:02+00:00,we go way back but these niggas fake,racism
12,2021-05-18 15:51:58+00:00,@Israel @Jlm_city @Israel @netanyahu Israel is not a state. Palestine will be free https://t.co/XOLRAqLCV8,neutral
13,2021-04-29 00:24:39+00:00,Niggas is crazy,racism
14,2021-05-08 22:22:39+00:00,This study did note the lack of resources in place for men. It IS a major issue. Which only makes me more mad when other men only bring it up in the context of whining about feminism.,misogyny
15,2021-05-12 20:41:04+00:00,Liberal feminism is just a cute little gift for men,misogyny
16,2021-03-17 03:07:40+00:00,"@1988Vor @DonnaBigness @RealNastyWoman @jonnypaints @aamiraltaf71 @PissedOffGaMama @prouddemvoteblu @preferspuppies @JenaWantsA_Dab @MiaMadness1 @DWonSF @lunas3rdgirl @kahnblond @Charlie_Grampa @LaVaqueAudio @Davey43h @CrystalHealer53 @girl_reason Thanks for the boost! ✌🏼💙 Ifb resisters! #FBR #BLM 
#StrongerTogether #KindnessMatters
#BidenHarris #FreeRealityWinner
#WearADamnMask #StayBlueIn2022 https://t.co/YQBEIoKoOe",positive
17,2021-05-18 04:46:49+00:00,Instagram is hiding my stories about Palestine. The views are unusual lesser than normal #Free_Palestine,neutral
18,2021-05-31 05:18:38+00:00,I fuck with GoGurts,offensive
19,2021-05-11 02:04:30+00:00,"May Allah accept the prayers of all of us and help the Palestinians.
#palestine🇵🇸 #palestine #palestinianlivesmatter #palestineupdate #palestineforever #savepalestinechildren #allahuakbar #standwithpalestine🇵🇸❤❤ https://t.co/HznwQFcnkw",positive
20,2021-05-17 17:17:13+00:00,"@Israel So tell me aa why you bomb taxi ? .

You bomb cemetary , you bomb christian pray place , you bomb media building .

You sure you got address to bomb haa ? .

Why you bombed taxi ? They dont have rock to throw to you , they dont have gun to shot you #IsraelStopPlayingVictim https://t.co/ZVLlElrSTx",attacking
21,2021-05-31 06:57:45+00:00,@cupFulluh_Ds Absolutely and that what I did but shut the fuck up anyway,attacking
22,2021-04-27 01:45:17+00:00,“Fuck wrong with these niggas man “ (Chris Paul voice ) 😂😂😂,racism
25,2021-05-17 10:54:17+00:00,"To all those who think that what’s happening in Palestine is fine, do you believe truly that innocent children and a defenceless people are the source of violence? Do you really support the death of children?! If so then the humanity in you has failed terribly!! #Free_Palestine https://t.co/npZFmuzUmy",attacking
26,2021-05-16 10:30:03+00:00,@Kineticx4 Umm so Saudi arabia is providing missiles to resistance Brigades in palestine ?👀,neutral
27,2021-05-16 23:56:38+00:00,might have to disown kohli completely if he doesn't speak up for Palestine anytime soon,attacking
29,2021-05-17 03:49:10+00:00,@abhijitmajumder Your government isn’t supporting Israel. So calm down.,neutral
30,2021-05-18 13:01:37+00:00,"Jews are forgetting their near past. When Christians, the west and Europe killed millions &amp; millions of Jews. Muslims gave them homes to live in, shared meals, heal their wounds. Today they call Muslims terrorists and kill them. Hypocrisy @POTUS @Israel @IsraeliPM @netanyahu https://t.co/bZMTMeG3tq",neutral
31,2021-05-16 21:55:28+00:00,@IlhanMN @SenSanders Israel is a war criminal! Stop funding crimes against humanity with US tax dollars... #SavePalestine,attacking
33,2021-05-12 14:09:27+00:00,@Lite_Boomin_ Down south niggas pause anything bro bugged tf out 😭😭🤣🤣🤣,racism
34,2020-08-07 12:45:02+00:00,"So important to amplify these stories and voices! For those in #Earthscience #environmentalscience #environmentalstudies #outdooreducation #resourcemanagement #geoscienceeducation looking to diversify syllabi or make curricula more inclusive, there is a lot here. #BLM https://t.co/pc49q2aDuT",neutral
35,2021-05-15 19:17:24+00:00,"@IDF Hey, are you jews? Or isis?",neutral
36,2021-05-15 07:47:25+00:00,"@dhruv_rathee Here's the truth: 

Hamas is responsible to the death of kids in Gaza. Not Israel. 
Hamas uses kids and innocent civilians as a human shield. That is the *only* reason there are unfortunately innocent victims in Gaza. 

If you care about Palestinian kids - oppose Hamas. https://t.co/e7R9t5KqAM",attacking
37,2021-05-15 09:20:25+00:00,@manishs85871230 @AmbassadorNaeh What do you get out of kissing Israel's butt? https://t.co/l482SPvHis,offensive
38,2021-05-17 13:32:23+00:00,@AqsaRubab16 O acha...that was sarcasm🤣.that sucker had earlier claimed that he wuld pay off pak debt through crypto scheme.later he changed his plan to help put Palestine 🤣😂.all about that .,offensive
39,2021-05-17 18:45:36+00:00,"Israeli terrorism still continues as death toll in #Gaza rises to 212 including 61 children and 36 women with more than 1200 injured during the attacks.

#IsraelStopPlayingVictim #Free_Palestine #SaveGazaFromZionists #AqsaCallsArmies #PalestineBleedsWorldSleeps #FreeGaza",neutral
40,2021-05-31 15:29:38+00:00,@CSurvivor9 Bummer! Why can’t people not be creepy fucks and leave people alone!,offensive
41,2020-08-13 22:08:58+00:00,... From a Small Business (Winery) in Solidarity 🖤 #BlackLivesMatter #BLM https://t.co/920oLQSkcA,neutral
42,2020-06-25 23:33:48+00:00,"AHMAUD AREBREY UPDATE, Jenny Slate &amp; Kristen Bell On Voice Acting, &amp; More https://t.co/P97EbKy2gp #BlackLivesMatter #blm https://t.co/JYq5VP5rNA",neutral
43,2021-05-16 05:48:10+00:00,@aminul73075825 @RahulGa41035080 @hadieazizi_ @RonakSays @IDF Why malasiya is taking so much pain................ Palestine is other country,neutral
44,2021-05-17 03:21:05+00:00,@NAVANGULTEJAS @Swamy39 @narendramodi @PMOIndia Indian always support and stand with #Israel. @narendramodi is only looking for vote and confused and scared.,positive
45,2021-05-17 03:21:05+00:00,@narendramodi is only looking for vote and confused and scared,neutral
46,2021-05-16 18:15:18+00:00,Gaza suffers deadliest airstrikes yet as Israel targets Hamas leader https://t.co/DAf3EU54nq,neutral
48,2021-05-16 18:30:41+00:00,"Prior to 1948 Jews had been stateless for millennia. And Jews were persecuted by states for millennia. 

Israel is the product of *some* Jews insisting that ""safety"" can be had only by getting into the business of state violence yourself. 

And here we are. #FreePalestine https://t.co/6DACjlN3pr",neutral
49,2021-05-12 04:23:11+00:00,Yes I'm the one that really started all this And you know I changed a lot of you niggas In a matter of months I raised a lot of you niggas,neutral
50,2021-05-18 17:31:54+00:00,"Big News
Bangladeshi cyber warriors🥰 are going to attack on Israel &amp; India
#StandwithPalestine 
#freepalastine 
#StandWithIsrael https://t.co/uDaLwm2wno",attacking
51,2020-09-04 00:51:29+00:00,"@DanielvHausser @twinkbackup @ps4top1 @Daminous_Purity Trump will continue his ruining of the country.Biden is a unifying, kind, caring, and sympathetic person. Trump is a mysogynist, narcissist, hates strong women.Only cares about making money while in office. There's still about 2,500 children that have never been reunited w/family",attacking
52,2021-04-11 06:16:12+00:00,"Cook a nigga breakfast after sex is like a reward, then I go my own way, you’ll think about me all day, that’s just a warning",neutral
53,2021-05-08 10:30:31+00:00,"@raspberrynemes1 You are missing nothing. This is useless feminism that keeps us in our place and unable to exist, organise, toilet or receive help, medical or for effects of male violence, away from males. But at least she isn't mean to men, like us!",misogyny
54,2021-05-17 11:57:59+00:00,"From the River, To the Sea !
Palestine would be Free !

#PalestineBleeding
#PalestineUnderAttack",positive
55,2021-05-31 19:55:27+00:00,Fuck man I’m so pissed,offensive
56,2020-07-22 06:50:28+00:00,"My birthday cheesecake, delicious! #goodfood #familytime #livelovelaugh #cheesecake #blm #hollywood #thegoodlife  #foodporn @ Hollywood, California https://t.co/nWXpoOxhxf",positive
57,2021-04-30 01:22:59+00:00,nigga told me to come over like all he got aint wack weed and twisted tea. lord i’m tired,neutral
60,2021-05-30 22:44:11+00:00,Funny niggas with weak dick have you laughing yo way to some new dick 🤣,offensive
61,2021-04-24 04:26:57+00:00,Niggas will offer you a baby before offering you a healthy marriage 🙄,racism
62,2020-12-17 09:44:24+00:00,"Anyways, some of my classmates be tagging along with that digusting guy.
He gets away with it SO easily, and he's objectifying someone RIGHT in front of all of us!!

""Its all fun and jokes. Chill.""

Spoken like a true mysogynist 👍🏼",neutral
63,2021-04-13 04:17:01+00:00,@itschrissyboo_ You sound like me😩😂😂; idk wtf going on but these niggas tryna cuff rather early in the summer this year 🥴😩😂😂 ✋,racism
66,2021-05-15 03:48:07+00:00,"@HonestReporting For those who say ""hamas started this"" or ""Israel have the right to defend themselves"" this is how it started, ethnic cleansing and continuous genocides against Palestinians committed by israel

እስራኤል አሸባሪ

#GazaUnderAttack
#FreePalestine
#IsraelKoyak
#IsraelTerrorism https://t.co/fJBd4MHnUr",attacking
69,2021-05-31 05:19:20+00:00,"we tell about
You know, the streets and everything that goes on you know
Around in Compton, what's going around around us
Most kids in Compton don't give a fuck who the Mayor is
You know they're not even interested in votin
And the police, you know what I'm sayin? I say, fuck 'em",offensive
71,2021-05-16 00:45:07+00:00,@sdotsizzle10 @sagarpas1 @Israel Mate 😭,neutral
72,2021-05-31 03:52:24+00:00,FUCK YES!!! https://t.co/ArPOo0srHq,offensive
73,2021-05-16 22:07:56+00:00,Have some food ready for your nigga when you get home,neutral
74,2021-04-26 07:36:26+00:00,imagine thinking that people like this are allies to feminism lol https://t.co/B96k0ziLRE,neutral
76,2021-05-29 03:17:19+00:00,"Game
Bruh tell these refs to suck a whole dick",offensive
77,2021-05-28 11:04:29+00:00,Sick of these mfs coming to me asking me to do extra or trying to scold me for not being perfect. Whole company can suck my dick I’m here for my check n thassit. I promise you I don’t care about your expectations or standards.,attacking
79,2021-05-28 09:12:47+00:00,"@LiamKerrMSP @ScotTories You don't really understand what's going on as regards energy transition do you Liam? Simple truth here is a Danish company employs around 25,000 people manufacturing wind turbines but the Tories killed off the devt of the technology in Scotland when they privatised electricity.",neutral
80,2021-04-22 02:11:17+00:00,"My husband, obviously, and @WimminsRea, @divine_feminism, @afoxmother, @LifeCataloger, @Briefslayer, @law_champagne, @DiegoATLAW, Ben, who seems to have disappeared again. There are more of you I’d like to develop IRL friendships with, too. https://t.co/Yxy499ed6e",neutral
81,2021-05-16 22:00:29+00:00,"I am so shocked, almost as if I feel their pain and suffering. May Allah help the innocent people and children of Palestine and bring peace 😭😭😭 #FreePalestine https://t.co/a4wkF0Jzac",neutral
82,2021-04-09 12:41:42+00:00,Niggas run they mouth so much...,racism
83,2021-05-17 16:53:19+00:00,@JyotiRa33476648 @Iam_JD92 @netanyahu Stop making your own assumptions. Modi has made it clear that he is with Palestine since 2018. India who has Good relations with Israel doesn't means our govt will support their terrorist activities! Overthinking ki bhi seema hoti hai. https://t.co/oqscyatsfe,neutral
84,2021-05-06 22:02:55+00:00,"""In feminist approaches, … speculative thinking fuels hope and the desire for transformative action. It belongs to feminism visions' affective power to touch, to nurture hope about what the world could be, and to engage with its promises and threats"" - María Puig de la Bellacasa",neutral
85,2021-05-16 13:29:40+00:00,Republicans do not care about anything but destruction of USA on their terms! #ProsecuteTrump @SenateGOP @SenateDems @HouseDemocrats WE NEED TO SEE ACCOUNTABILITY! Trump is guilty of CRIMES! USA can’t go forward until #TrumpCrimeFamily locked up! @CNN @MSNBC,neutral
86,2021-05-15 15:47:03+00:00,"@zoulfxhmiey @ask_philosopher @benshrff @nrnssaz_ad @playboyLfc @IDF 🤣🤣🤣
I am not know your language",neutral
87,2021-05-03 12:27:12+00:00,"@peytonclaireee @mattxiv @chloemarie292 Stupid bitches claim to support groups and can’t even analyze a situation to be harmful to another group.

Oh but FEMINISM LADIES! DON’T FORGET! Let a former male just walk up into your sport and demolish anyone who stands in his way. Go girls!

You’re doing great, really.",misogyny
88,2021-04-20 21:35:30+00:00,niggas find any reason to drink🤣🤣🤣 i feel em https://t.co/C1VXdh3TG9,racism
89,2021-05-15 13:25:29+00:00,"@mostafaayyach @GNNANOW ALLAHUAKHBAR !! May Allah protect you and our brothers and sisters in Palestine. Our prayers are with you ❤️🇵🇸 Insyaallah Ameen
#SavePalestine 
#SaveSheikhJarrah 
#Gaza_Under_Attack",positive
90,2021-04-15 19:37:39+00:00,"Ricks or Dunks, niggas don’t know which avatar to pick nowadays",racism
91,2021-05-18 14:30:59+00:00,"You Guys seriously
Why are you Trend #AlizehShah  instead of #Palestine #Gaza I think you have no heart.
Sham on you https://t.co/8YlmpAEFZS",attacking
93,2020-06-19 18:20:46+00:00,Know what we’d *really* like for #Juneteenth ? #Accountability #StopKillingUs #ArrestBreonnaTaylorsMurderers #JusticeForGeorgeFloyd #JusticeForAhmaudArbery #JusticeForTamirRice #JusticeForAtatianaJefferson #JusticeForAiyanaStanleyJones #DefundThePolice to name a few #BLM,neutral
94,2020-06-23 01:05:04+00:00,"@KamalaHarris Has anyone been arrested for killing the 3yr old, and 3 teenagers in CHICAGO this weekend. I guess not all #BLM.     
Jistice for BRIANNA TAYLOR. We need justice for everyone. I’m sick of you making the USA look like the worst country ON earth. We’re the best country on EARTH!",neutral
95,2021-05-06 17:13:39+00:00,A lot of these niggas were raised like hoes.,offensive
96,2021-05-13 14:56:49+00:00,Nigga got a chain too. 😂😂,racism
97,2021-05-17 15:09:51+00:00,@wonderful_boss @cincauisgood @weedigbococaine @ManAzh00 @PsychoSplendor @IDF Zionist Terrorist Israel never exist before 1948. That is what I am talking about. You occupied Palestinian land. Entire world noted about that. Even JEWS themselves knows who is ZIONIST TERRORIST. Keep showing your true colours and we'll see what happens next. https://t.co/HHRSSjXex0,neutral
98,2021-04-27 03:36:49+00:00,Got me all the way fucked up if you think I’m taking advice from this nigga. Goodnight. https://t.co/FD2Guv79QM,racism
99,2021-05-02 04:22:52+00:00,"How does the trans community participate in sports in Pakistan?
This topic honestly divides me so much because mainstream feminism advocates for trans girls to play with bio girls but there really is an undeniable bio diff between male and female. https://t.co/2Bg85wqzFo",misogyny
100,2021-05-31 22:06:30+00:00,fuck this https://t.co/4FP8yGZxfJ,offensive
101,2021-05-31 23:16:00+00:00,"@Swanky_Kong almost like it's a bank holiday or something, why the fuck did they make you go in",offensive
102,2021-05-15 12:05:51+00:00,"#OIC_WakeUp4Palestine
Could Muslims stop funding to Israel??
If yes, We have to say “no”; boycott👇 https://t.co/yHJ7PeQMDF",neutral
104,2021-05-31 03:57:57+00:00,What the fuck?! https://t.co/PFrHPUoAPX,neutral
105,2021-05-31 14:39:16+00:00,I just woke up like an hour ago fuck off cunt https://t.co/qwM82rYNPj,offensive
107,2021-05-17 19:46:09+00:00,"@GOPLeader You know who deserves YOUR respect and appreciation? Officer Michael Fanone, &amp; the rest of the Capitol Police, who risked their lives to protect you and your colleagues from a violent, murderous mob doing the bidding of a lying Trump. 
#GOPCorruptionOverCountry",neutral
109,2021-05-17 13:44:19+00:00,@DavidSaranga @IsraelMFA @IsraelinRomania @AmirSagron @MAERomania Israel is a terrorists country,attacking
110,2021-05-15 13:32:52+00:00,"@AamirHa27257192 @ajplus good go to Palestine and take your friends too.
Bye bye. 
good riddance.",neutral
111,2021-04-28 21:07:20+00:00,"@ScotReSisters Who to believe about the true nature of #feminism re: #LGBTQIA rights, @NationalNOW or you—a coquettish cheerleader for the #patriarchy? 🤔 such a dilemma 😒 
https://t.co/EP6Z5uCrRr",neutral
112,2021-05-17 23:23:36+00:00,@_HLondon @HHShkMohd Hmm yeah maybe you are right but no any  arab country tell anything about that . Now its time like this they dont want any sympathy from the world. Now they want to see some strict  action . #SavePalestine #Free_Palestine #GazaUnderAttak #BoycottIsrael 🤲🏻🤲🏻🤲🏻,neutral
113,2021-05-31 09:21:54+00:00,@bludchan had a bath rn fuck u loser fuck,offensive
114,2021-05-17 21:39:13+00:00,"Did you say, Trump is “a mob owned Russian agent”?  I’ve believe this since 2017. Finally!!  Thank you. Please provide more evidence/proof. https://t.co/tNOto9cyPh",neutral
115,2021-05-16 07:28:29+00:00,"To the oppressed people of #Palestine :
Hold up tight. Keep the fight. The victory is yours.

To the so-called Israel:
You know the end is close.

To @facebook and @Twitter, the hypocrites:
You might remove this post but you can NEVER bury the truth. Fuck you in advance. https://t.co/8U8tV8mv84",positive
116,2021-05-31 22:11:33+00:00,Yeah he looks evil as fuck. Was that what you were going for? https://t.co/eg3UokG5dH,offensive
117,2021-05-17 18:11:54+00:00,11.11 damn Israel to hell.,offensive
118,2021-05-29 16:51:17+00:00,@jizzstream5000 dicks are fun,offensive
119,2021-05-06 06:07:29+00:00,@jny8675309 @cache_pas Hey I was sold to two lovely gentleman when I was 5. Can we say we need actual feminism again?,positive
120,2021-05-16 19:14:37+00:00,The Global Campaign to Support Palestine Press the button below the tweet 👇 #FreePalaestine #فلسطين_حره,positive
122,2021-05-18 10:09:29+00:00,"@Savi1507 @kthxfltr @mnsbelle @Yana_m_Martinez @sisterofoshun @jiggyjayy2 @_benjvmins_ Bro don’t waste ur time , social media is mostly women and feminism have dominated as it appeases women. 8hrs later , no one has given a single example of patriarchy.Twitter girls just use words they don’t even the know definition of,  anyting they don’t like in men is patriarchy",misogyny
123,2021-04-17 07:30:03+00:00,FUCK FEMINISM 😩,misogyny
124,2021-05-14 17:58:39+00:00,Why the closest niggas to you be acting like the opposite,racism
125,2021-05-31 15:08:05+00:00,"Just want to let everyone know @uber priority support compensated me $150. Fare issue has still not be resolved for me or any other driver. Hey @dkhos after 1,688 rides this feels like a good time to say fuck you I quit✌🏻",neutral
126,2021-05-15 21:22:37+00:00,why is dis nigga eating a corndog for his first meal of the day,racism
127,2021-05-17 16:40:31+00:00,"@Israel Make no mistakes, world know #IsraelTerrorists afraid of #FreePalestine. u occupied &amp; siege 'em for yrs; deny access to clean water, electricity, facilities, educatn, freetrade, meds supplies, free movement, many more, then u bomb them. #IsraelKoyak #IsraelStopPlayingVictim",neutral
128,2021-04-30 01:34:28+00:00,@divine_feminism I seriously thought about just sitting down on the floor and eating it like that 😂🤣,neutral
129,2021-05-29 02:12:16+00:00,Never realized how expensive groceries can be till this summer,neutral
130,2021-05-31 16:29:39+00:00,"+I said yes to going. I don't remember us having any other plans today and his statement of we don't have to have plans to say no implys we didn't imo, to then throw a fit of whatever you get whatever you wanna get and fuck me I guess.",neutral
131,2021-05-16 17:44:29+00:00,Boycott israeli products as much as possible b'coz it's the matter of Palestine #BoycottIsraeliProducts,neutral
132,2021-05-29 21:59:00+00:00,"@ziggyreef My tight hole would hang better on your heavy, big dick.",offensive
134,2021-05-15 20:18:29+00:00,It’s crazy the numbersof miles my Dick has on it ! shit I ain’t afraid to claim #ImaFreakHoe,offensive
135,2020-07-13 05:26:27+00:00,Why am I hearing #asaprocky is a colorist and doesn’t support #BLM ?!! Someone say sike RIGHT NOW😡,offensive
136,2021-05-10 23:06:42+00:00,niggas be gatekeeping the corniest shit LOLZ,racism
137,2021-05-18 05:15:10+00:00,We stand for Israel 🇮🇳❤️🇮🇱 https://t.co/vkTOKGcpCQ,positive
138,2021-05-16 07:19:44+00:00,"@AviCohenn @RahulBhadu123 @IsraelMFA Show no mercy on gaza militants, jihadis and their supporters. India loves Israel. Praying for your safety, strength and victory over that evil.
#IndiaStandsWithIsrael 
🙏🙏💕💕",positive
141,2021-05-13 01:54:21+00:00,"Replace the word ""Israel"" to Gaza and the footage with Gaza's condition right now and then we'll talk. What a hypocrite. Disgusting entitled whiny settlers. 
#GazaUnderAttack #StandForPalestine #IsraelKoyak #koyakyoutoo https://t.co/AeJ0p9HsYm",neutral
