,Datetime,Text
0,2020-12-31 23:51:35+00:00,@CawthornforNC God bless Congressman for your COURAGE STAND UP FOR AMERICA someting EVERY Republican Senator&amp;Representative because dems dont care MUST DO  SAVE &amp;AMERICA PREVENT FROM CIVIL WAR start over dem RIGGED FRAUDULENT ELECTION in USA from 98MILLION POTUS TRUMP VOTERS
1,2020-12-31 22:06:45+00:00,"@JackPosobiec UNFORTUNATELY we can thank the dems! ""WORST IS YET TO COME"" 20 days&amp; COUNTING until end of USA caused by BIGGEST MASSIVE VOTER FRAUD ELECTION by biden&amp;EVERY rino dem leader&amp;judge big tech fake news ALL CONSPIRATORS TRAITORS&amp; partners with XI china the COUP TAKE DOWN POTUS TRUMP"
2,2020-12-31 19:54:29+00:00,There won’t be a USA if politicians in Wash are allowed to steal the election. @realDonaldTrump @senatemajldr @GOPLeader @SteveScalise @SenTedCruz @RandPaul https://t.co/HYrJTWIb1A
3,2020-12-31 17:26:36+00:00,"Josh Hawley,  repugnant senator from the great state of Missouri,  is insulting Missourian by falling into trumps line of bs. Hawley,  i believe, has lost his mind. The USA is a democratic republic, act like you see that. PA Republican and Democrat election authorities are right!"
4,2020-12-31 17:23:18+00:00,@SenTedCruz But they partnered with the Democrat Party to bring biological warfare into the USA so they could steal the election. You are in power to stop them. Otherwise they will bring death wherever or whenever they want things done their way
5,2020-12-31 15:04:59+00:00,@TerreB2020 @_IamAnita_D @freedmeto @HawleyMO YEP! WRITINGS ON THE WALL! ALL HELL BREAKS OUT if ILLEGET china joe&amp;commie ho RIGGED ELECTION stands it WILL SADLY be BEGINNING OF END of USA and POTUS XI CHINA TAKES OUT USA &amp;COMUNISM WILL RULE THE WORLD with POTUS XI IN CHARGE!
6,2020-12-31 14:54:20+00:00,"@_IamAnita_D @HawleyMO @senatemajldr @SenJohnThune @RepKinzinger If every GOP senator doesn't stand with Senator Josh Hawley #STOPTHESTEAL ""RIGGED ELECTION"" OVERWHELMING EVIDENCE MASSIVE VOTER FRAUD POTUS TRUMP WONT BE ANY REASON VOTE ANYMORE&amp;kiss GOP PARTY&amp; USA goodbye! XI demand $1.5billion BRIBE to biden&amp;TRILLIONS $DEBT USA OWES! GAME OVER!"
7,2020-12-31 14:40:03+00:00,Why do we  even vote in the USA if curtain  government officials are going to allow whom ever they choose to hold office . Everyone knows President Donald Trump won the election .
8,2020-12-31 00:57:40+00:00,"Rant:
1 of 2 
Let me tell you what it is like right now living in the USA, in the State of Georgia, as a Black Woman running a small business, during a pandemic that has claimed the lives of 377K+ lives, and during an election cycle where candidates mercilessly bombard the mail.."
9,2020-12-31 00:36:04+00:00,"@ChrisMurphyCT Do NOT Accuse Americans &amp; The Republican Party of the crimes committed by democrats! They stole the election &amp; you’re a threat to USA! Y’all knew America was voting trump2020 so you forged polls, while forging millions of ballots for Biden! Don’t you dare lay this at our feet!!!"
10,2020-12-30 23:10:17+00:00,"@caudell79 @asymmetricinfo @JonahDispatch @AOC isn't trying to end Democracy in the USA, on the model of Chavez or Castro.  @HawleyMO is trying to, in an authoritarian manner, to  subvert the election."
11,2020-12-30 22:34:02+00:00,@DineshDSouza @Ban1slam ITS ONLY WAY SAVE USA if this FRAUDULENT ELECTION not contested STANDS AMERICA FALLS and it will DEFINITELY BE LAST ELECTION ever held again USA
12,2020-12-30 22:14:47+00:00,"@swaffarcongress @SidneyPowell1 @LLinWood @RudyGiuliani @realDonaldTrump YEP! NO NEED EVEN HAVE ELECTION dems HAVE ALREADY RIGGED IT! for two comunist dem Maybe that's for BETTER because this will enrage GIVE all us 98MILLION POTUS TRUMP VOTERS know this will TOTALLY DESTROY END USA&amp;give REASON TO REVOLT because ""GOT NOTHING TO LOSE"" ONLY WAY SAVE USA"
13,2020-12-30 22:08:12+00:00,@HawleyMO you are a disgrace and an affront to all the citizens in the USA who participated in a free and fair election. Shame on you for your grandstanding just to curry favor.
14,2020-12-30 20:59:16+00:00,"@axios Hawley is claiming he is ok with overturning a fair democratic election to install a autocrat.
This is from a Senator that swore an oath to the constitution.
I guess that oath is meaningless and a loyalty to the individual is more important.
So much for democracy in the USA."
15,2020-12-30 20:04:04+00:00,"President Trump knew all along that this election fraud was going to happen. I believe he had a plan for exposure and it will be revealed to us shortly. When I get on the plane January 5th, heading to DC, I know I am supporting Donald J. Trump the 46th President of the USA."
16,2020-12-30 11:05:41+00:00,"@PaulMcg12388461 @javiercacciavi1 @disclosetv Roe v Wade in the USA passed based on the same tactics that they used to (NOT)win this election... fraud &amp; deceit.
Roe was fooled into participating in the lawsuit as plaintiff (read Roe no more) &amp; lamented it &amp; fought against it the rest of her life 🤨"
