,index,Datetime,Text,Label,tokens,normalized_tweets,tidy_tweet,scores,compound,comp_score,neu
0,0,2016-08-24 01:37:58+00:00,check unilever fair amp lovely advanced multivitamin fairness cream g,neutral,"['check', 'unilever', 'fair', 'amp', 'lovely', 'advanced', 'multivitamin', 'fairness', 'cream', 'g']","['check', 'unilev', 'fair', 'amp', 'love', 'advanc', 'multivitamin', 'fair', 'cream', 'g']",check unilev fair amp love advanc multivitamin fair cream g,"{'neg': 0.0, 'neu': 0.405, 'pos': 0.595, 'compound': 0.8316}",0.8316,pos,0.405
1,1,2021-04-18 03:48:54+00:00,if continue op s thread specifically reference removing anti trans ideology feminism i definitely agree with ,neutral,"['if', 'continue', 'op', 's', 'thread', 'specifically', 'reference', 'removing', 'anti', 'trans', 'ideology', 'feminism', 'i', 'definitely', 'agree', 'with']","['if', 'continu', 'op', 's', 'thread', 'specif', 'refer', 'remov', 'anti', 'tran', 'ideolog', 'femin', 'i', 'definit', 'agre', 'with']",if continu op s thread specif refer remov anti tran ideolog femin i definit agr with,"{'neg': 0.15, 'neu': 0.85, 'pos': 0.0, 'compound': -0.3182}",-0.3182,neg,0.85
2,2,2020-09-27 02:16:46+00:00,never forget this kneeling peaceful protest you told stand did ,positive,"['never', 'forget', 'this', 'kneeling', 'peaceful', 'protest', 'you', 'told', 'stand', 'did']","['never', 'forget', 'thi', 'kneel', 'peac', 'protest', 'you', 'told', 'stand', 'did']",never forget thi kneel peac protest you told stand did,"{'neg': 0.171, 'neu': 0.686, 'pos': 0.143, 'compound': -0.0859}",-0.0859,neg,0.686
3,3,2021-05-17 21:43:37+00:00,israel gaza conflict rages despite you s regionaldiplomacy,neutral,"['israel', 'gaza', 'conflict', 'rages', 'despite', 'you', 's', 'regionaldiplomacy']","['israel', 'gaza', 'conflict', 'rage', 'despit', 'you', 's', 'regionaldiplomaci']",israel gaza conflict rage despit you s regionaldiplomaci,"{'neg': 0.541, 'neu': 0.459, 'pos': 0.0, 'compound': -0.7096}",-0.7096,neg,0.459
4,4,2021-03-16 03:23:47+00:00,i pussy not mysogynist not cringe red pill guy ,offensive,"['i', 'pussy', 'not', 'mysogynist', 'not', 'cringe', 'red', 'pill', 'guy']","['i', 'pussi', 'not', 'mysogynist', 'not', 'cring', 'red', 'pill', 'guy']",i pussi not mysogynist not cring red pill guy,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neg,1.0
5,5,2021-05-15 12:58:04+00:00,abhas ji israel clearly aggressor here how different situation palestinians different kashmiri pandits both ethnically cleansed homeland lived s years ,attacking,"['abhas', 'ji', 'israel', 'clearly', 'aggressor', 'here', 'how', 'different', 'situation', 'palestinians', 'different', 'kashmiri', 'pandits', 'both', 'ethnically', 'cleansed', 'homeland', 'lived', 's', 'years']","['abha', 'ji', 'israel', 'clearli', 'aggressor', 'here', 'how', 'differ', 'situat', 'palestinian', 'differ', 'kashmiri', 'pandit', 'both', 'ethnic', 'cleans', 'homeland', 'live', 's', 'year']",abha ji israel clearli aggressor here how differ situat palestinian differ kashmiri pandit both ethnic clean homeland live s year,"{'neg': 0.084, 'neu': 0.791, 'pos': 0.126, 'compound': 0.2263}",0.2263,pos,0.791
6,7,2021-05-16 23:51:35+00:00,new india announces support palestinian commitment two state solution un security council meeting israel palestine conflict,positive,"['new', 'india', 'announces', 'support', 'palestinian', 'commitment', 'two', 'state', 'solution', 'un', 'security', 'council', 'meeting', 'israel', 'palestine', 'conflict']","['new', 'india', 'announc', 'support', 'palestinian', 'commit', 'two', 'state', 'solut', 'un', 'secur', 'council', 'meet', 'israel', 'palestin', 'conflict']",new india announc support palestinian commit two state solut un secur council meet israel palestin conflict,"{'neg': 0.114, 'neu': 0.644, 'pos': 0.243, 'compound': 0.3818}",0.3818,pos,0.644
7,9,2021-05-15 01:40:42+00:00,it time gazi strip israel ,neutral,"['it', 'time', 'gazi', 'strip', 'israel']","['it', 'time', 'gazi', 'strip', 'israel']",it time gazi strip israel,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neg,1.0
8,10,2021-05-03 04:06:02+00:00,way niggas fake,racism,"['way', 'niggas', 'fake']","['way', 'nigga', 'fake']",way nigga fake,"{'neg': 0.608, 'neu': 0.392, 'pos': 0.0, 'compound': -0.4767}",-0.4767,neg,0.392
9,12,2021-05-18 15:51:58+00:00,israel state palestine free,neutral,"['israel', 'state', 'palestine', 'free']","['israel', 'state', 'palestin', 'free']",israel state palestin free,"{'neg': 0.0, 'neu': 0.476, 'pos': 0.524, 'compound': 0.5106}",0.5106,pos,0.476
