,Datetime,Text
0,2021-05-31 17:17:54+00:00,"@Er_fokin_beti No estas enfermo, eres gay"
1,2021-05-31 15:01:26+00:00,@ManUtd have some shame sign some players.
2,2021-05-31 14:56:34+00:00,@Waqas7778 @TheRealPCB Jab saray players pohanch jaien gay.
3,2021-05-31 12:19:52+00:00,So if a player kisses a UCL trophy then the other player kiss the same spot on the UCL trophy does that make them gay/lesbian?
4,2021-05-29 10:47:08+00:00,@RealMubashar58 @inevitable_09 @tahabeast3 @p_shanmug @thisisakshat18 @shaziyaaM @ICC India ki c team thi aur pakistan main players khilake bhi har gayi wo shayad bhool gay ap
5,2021-05-29 08:40:41+00:00,"haha fun game tristana top 
Gay players (ranged top players) evolved https://t.co/Qnwlnx0Na3"
6,2021-05-28 18:29:48+00:00,"@thominhasx me deram: gay
eu sou: 

me deram: 1,76
eu tenho: 

me deram: Aram player
eu sou: 

me deram: paulista 100%
eu sou:"
7,2021-05-27 11:11:06+00:00,@veins_cricket @kalson Tujh Kuch Ni pata Gandu News dekh PSL Ho gi UAE may Players ajj Pakistan se UAE jany gay
8,2021-05-27 09:33:36+00:00,@aimoo_herself kia hogya hai best female player i am mean gay player ko tang nahi karo yawr
9,2021-05-26 14:49:12+00:00,"Aik acchi khabar ye hai kay  players or officials kal 27 May ko jab bhee Abu Dhabi main land karain gay wo Quarantine ka Day 1st consider kia jai gaa, chahay raat 11 bajay ponchain. Pehlay ye dead line 2pm tak ki thee."
10,2021-05-26 05:54:19+00:00,I'm gay and a gbf player but this sht still got me confused af. How did that thing FIT??? https://t.co/9P4TMkAGGM
11,2021-03-10 08:41:39+00:00,@KamranArao @iamSaqibAliAwan Abi sary player wapis gay Abi phir wapis aana mushkal hy Quarantine ki waja sy
12,2021-03-04 10:13:53+00:00,"Thanks to all PZ, IU, KK, QG players &amp; management for ruining this for us. Aap log ads krlo, party krlo, cricket baad me khail lain gay.Javed Afridi aap ko koi ar piyari lrki raah chlty milay tou usy bhi apni tharak poori krny k liay ground me ly aein.Only MS &amp; LQ acted decently."
13,2021-02-24 21:52:08+00:00,@EagleEy15262898 @sadiqbugti0 @PakSarfrazbugti @FaisalBugti007 @bugti_zainab @jam_kamal Masla Isb mein Isb kay players ka nahi aik muft kay ghalat propaganda ka hay. Isb ki taraf say aisi koi awaz nahi uthi. awaz jahan say uth rahi hay uss ko address karna zaroori hay. ap balochistan kay players ko nahi khilaein gay to sobay kay players kaisay uper aein gay.
14,2021-02-24 08:20:53+00:00,Es bar har Player ko 2 2 plots milay gay ek Bahria mai dosra qabrastan mai ab en ki merzi hai kon sa lena hai. #PSL6 https://t.co/yXuDzZhbze
15,2021-02-13 14:21:14+00:00,Khush dil r ifthikhar jaisay zalil player khailao gay tou team zalil tou ho gi
16,2021-02-04 19:31:34+00:00,"Politically Speaking🗣abt Indian Politics which is Run On Hijab &amp; Robes🤷‍♂️!Gods Go Crazy🤦‍♂️!Sad Story of Indian Democracy is tat Saviours of Our Nation,Sitting inside Temple of Democracy hv either Muted🤫or Tweeted! None has A Clean Slate to Display! Rulers Play @ Players GAY! #Mad"
17,2020-12-04 12:25:50+00:00,@Gaganvl_08 @pawankalyanfanb @ICC Actually india ki aukat nhi Pakistan k sth match khel ly isi lie apni govt py bat dal drty ho.😁😁...2012 ki series ma bhul gay usi series ma junaid ny Kohli ko hilny ni dia usi wjah sy kohli Player of th year nhi ban ska...😁😁😁
18,2020-11-02 09:04:33+00:00,gay songs Guitar Pro player you know that but I was really really standing of free fire with this that new year @freefire https://t.co/Ho8jrpp8gW
19,2020-10-20 15:41:12+00:00,Oh btw please someone tell me our #MUFC players won't be wearing that fucking gay zebra crossing jerseys today please! #PSGMUN 🤦🏽‍♂️
