,index,Datetime,Text,lang,label,class
0,0,2020-01-30 23:59:03+00:00, randpaul do know desperate scum putting out you terrified stoop low and regardless preplanning doesn t change trump s guilt counts more ,en,bully,0
5,5,2020-01-30 23:58:11+00:00, amy_siskind yeah don t toughen up questioning gop cowards call like is trump s base loves shit ,en,bully,0
7,7,2020-01-30 23:57:44+00:00, nudog71 that s problem is these people limited access news books people tv need stimulated mentally physically they don t want talk discuss political trump jesus can t wrong so begin ,en,bully,0
9,9,2020-01-30 23:57:35+00:00, repadamschiff you corrupted mf lier mf trump 2020,en,bully,0
10,10,2020-01-30 23:57:07+00:00, joebiden this country country donald trump subject s please realdonaldtrump thank randpaul senatemajldr lindseygrahamsc stand abuse power democrats can do better than this administration ,en,bully,0
13,13,2020-01-30 23:56:16+00:00,time to close another chapter on president trump s road to victory we stand wholeheartedly with our warrior and chief a man of great determination and robust patriotism to boot let all patriots rise to meet the challenge and hold our 1st family up in prayer daily https t co baaxrb5n7k,en,bully,0
14,14,2020-01-30 23:56:12+00:00, vp it s time protect instead covering trump you claim https t co nzu3kcscwz,en,bully,0
16,16,2020-01-30 23:55:57+00:00, mysterysolvent magats following trump ,en,bully,0
18,18,2020-01-30 23:55:47+00:00,they great case trump so what s need additional witnesses case falling apart https t co 0ieqx5hwam,en,bully,0
20,20,2020-01-30 23:55:35+00:00, senategop dscc how far let trump undermine potus s constitutional duties will allow unchecked authoritarian https t co iznqww9t9e,en,bully,0
22,22,2020-01-30 23:55:19+00:00, lindseygrahamsc you realize trump allow testify don t lie it ya wanna lie love god come better lies ,en,bully,0
26,26,2020-01-30 23:55:02+00:00, craig_crawford endhateradio nor mention dropped investigation trump university accepting extremely large donation campaign florida another con man like trump ,en,bully,0
27,27,2020-01-30 23:54:55+00:00,i watched alandersh words mouth showing clip speaking senate w t f bad thing trump getting away this its tragedy democracy,en,bully,0
29,29,2020-01-30 23:54:40+00:00,remember know right you ll able defend decision the old saying sticks stones break bones words hurt me trumps words https t co blqb4ujups,en,bully,0
35,35,2020-01-30 23:53:47+00:00, amberforiowa ewarren berniesanders and washington takes bernie seriously won t able congress there s reason trump wants run bernie ,en,bully,0
37,38,2020-01-30 23:53:36+00:00,evangelicals love donald trump many reasons but one them is especially terrifying https t co nsjr78nihh,en,bully,0
42,43,2020-01-30 23:52:40+00:00,who support trump false christians https t co ztnf0klkxt,en,bully,0
43,44,2020-01-30 23:52:34+00:00, richard92691181 the gao report came trump impeached it allowed senate trial,en,bully,0
45,46,2020-01-30 23:52:29+00:00,the dems ones shamed this guy needs shut quit running office failed ga candidate jon ossoff trump voters should never show faces in public https t co 0f90w76hru libertyheadline,en,bully,0
48,49,2020-01-30 23:52:01+00:00, tomfitton realdonaldtrump president trump s legal team decimating schiff s ridiculous case schiff fabricated entire thing complicit lame stream media print selective incorrect leaks feeds them anyone sick schiff schumer sham ,en,bully,0
